Distance_(pixels),Gray_Value
1753,33.5000
1754,33.1250
1755,33.3750
1756,33.6250
1757,34.3750
1758,35.1250
1759,35.1250
1760,34.3750
1761,33.6250
1762,32.7500
1763,32.0000
1764,31.1250
1765,31.5000
1766,31.8750
1767,32.3750
1768,31.1250
1769,30.2500
1770,28.1250
1771,27.7500
1772,28.2500
1773,30.1250
1774,34.0000
1775,36.8750
1776,37.8750
1777,35.6250
1778,33.0000
1779,29.8750
1780,27.7500
1781,26.6250
1782,27.3750
1783,28.0000
1784,29.0000
1785,29.1250
1786,28.8750
1787,30.6250
1788,31.5000
1789,32.3750
1790,32.0000
1791,31.1250
1792,30.5000
1793,29.7500
1794,28.8750
1795,29.5000
1796,31.2500
1797,32.3750
1798,33.7500
1799,35.2500
1800,36.7500
1801,36.6250
1802,35.7500
1803,34.0000
1804,32.6250
1805,31.1250
1806,30.7500
1807,31.5000
1808,32.3750
1809,33.7500
1810,34.5000
1811,36.0000
1812,36.0000
1813,36.2500
1814,35.6250
1815,35.2500
1816,33.2500
1817,31.8750
1818,30.7500
1819,30.3750
1820,30.5000
1821,30.2500
1822,30.6250
1823,31.2500
1824,31.1250
1825,30.8750
1826,30.6250
1827,29.3750
1828,28.2500
1829,28.6250
1830,29.1250
1831,30.2500
1832,31.0000
1833,31.7500
1834,32.0000
1835,31.8750
1836,30.8750
1837,32.5000
1838,33.5000
1839,34.3750
1840,33.6250
1841,32.6250
1842,31.0000
1843,31.2500
1844,31.3750
1845,33.8750
1846,36.5000
1847,39.2500
1848,38.6250
1849,37.1250
1850,34.5000
1851,32.5000
1852,29.7500
1853,28.5000
1854,27.5000
1855,26.5000
1856,25.8750
1857,25.6250
1858,26.6250
1859,27.5000
1860,28.8750
1861,30.3750
